v1,date,year,month,price,volumn,train,year_month,y_m,lnp,lag1lnp,newlnp,train_p,test_p,y_hat
126,2009-07,2009,7,13.9,15140.2,0,2009-07,2009m7,2.6318889,2.3608541,-.27103472,-.27103472,,-.19615309
127,2009-08,2009,8,15.8,6017.7998,0,2009-08,2009m8,2.76001,2.6318889,-.12812114,-.12812114,,.046864893
128,2009-09,2009,9,30.6,1164.1,0,2009-09,2009m9,3.421,2.76001,-.66099,-.66099,,.10115005
129,2009-10,2009,10,13.6,7666.3999,0,2009-10,2009m10,2.6100698,3.421,.81093025,.81093025,,.6282993
130,2009-11,2009,11,10,9247.5,0,2009-11,2009m11,2.3025851,2.6100698,.30748463,.30748463,,.056188744
131,2009-12,2009,12,12,3076.7,0,2009-12,2009m12,2.4849067,2.3025851,-.18232155,-.18232155,,-.24368715
132,2010-01,2010,1,12,3076.7,0,2010-01,2010m1,2.4849067,2.4849067,0,0,,-.09526515
133,2010-02,2010,2,19.1,4515,0,2010-02,2010m2,2.9496884,2.4849067,-.46478176,-.46478176,,-.092020988
134,2010-03,2010,3,18,7309.3999,0,2010-03,2010m3,2.8903718,2.9496884,.059316635,.059316635,,.24312192
135,2010-04,2010,4,12.9,13768.1,0,2010-04,2010m4,2.5572274,2.8903718,.33314443,.33314443,,.23957318
136,2010-05,2010,5,11.3,8346.7998,0,2010-05,2010m5,2.4248028,2.5572274,.13242459,.13242459,,-.035653219
137,2010-06,2010,6,7,17491.1,0,2010-06,2010m6,1.9459101,2.4248028,.47889268,.47889268,,-.1376275
138,2010-07,2010,7,14.3,16850.801,0,2010-07,2010m7,2.6602595,1.9459101,-.71434939,-.71434939,,-.49292722
139,2010-08,2010,8,13.5,20401.1,0,2010-08,2010m8,2.6026897,2.6602595,.057569742,.057569742,,-.017318405
140,2010-09,2010,9,11.3,9740.7002,0,2010-09,2010m9,2.4248028,2.6026897,.17788696,.17788696,,.039963681
141,2010-10,2010,10,22.4,1689.1,0,2010-10,2010m10,3.109061,2.4248028,-.68425822,-.68425822,,-.1681294
142,2010-11,2010,11,14,3351.6001,0,2010-11,2010m11,2.6390574,3.109061,.4700036,.4700036,,.36926675
143,2010-12,2010,12,15.9,629.20001,0,2010-12,2010m12,2.766319,2.6390574,-.12726164,-.12726164,,.049225025
144,2011-01,2011,1,7.4000001,594.40002,0,2011-01,2011m1,2.0014801,2.766319,.76483893,.76483893,,.090939164
145,2011-02,2011,2,7.3000002,331,0,2011-02,2011m2,1.9878744,2.0014801,.013605714,.013605714,,-.41484162
146,2011-03,2011,3,18.299999,5025.5,0,2011-03,2011m3,2.9069011,1.9878744,-.91902673,-.91902673,,-.53370506
147,2011-04,2011,4,14.3,19399.199,0,2011-04,2011m4,2.6602595,2.9069011,.24664164,.24664164,,.21026175
148,2011-05,2011,5,13.8,18156.801,0,2011-05,2011m5,2.6246686,2.6602595,.035590887,.035590887,,.051314618
149,2011-06,2011,6,15,19423.4,0,2011-06,2011m6,2.7080503,2.6246686,-.083381653,-.083381653,,.0035058639
150,2011-07,2011,7,13,21109.6,0,2011-07,2011m7,2.5649493,2.7080503,.14310098,.14310098,,.06107441
151,2011-08,2011,8,12.6,21348.699,0,2011-08,2011m8,2.5336969,2.5649493,.031252384,.031252384,,-.030483011
152,2011-09,2011,9,15.7,7708.2998,0,2011-09,2011m9,2.7536607,2.5336969,-.21996379,-.21996379,,-.077682585
153,2011-10,2011,10,12.8,6265,0,2011-10,2011m10,2.5494452,2.7536607,.20421553,.20421553,,.094235361
154,2011-11,2011,11,11,3979.3,0,2011-11,2011m11,2.3978953,2.5494452,.15154982,.15154982,,-.044343188
155,2011-12,2011,12,11,3979.3,0,2011-12,2011m12,2.3978953,2.3978953,0,0,,-.17675558
156,2012-01,2012,1,8.3999996,256.5,0,2012-01,2012m1,2.1282318,2.3978953,.26966357,.26966357,,-.17696501
157,2012-02,2012,2,8.3999996,256.5,0,2012-02,2012m2,2.1282318,2.1282318,0,0,,-.36973375
158,2012-03,2012,3,19.1,5203.3999,0,2012-03,2012m3,2.9496884,2.1282318,-.82145667,-.82145667,,-.39402363
159,2012-04,2012,4,13.8,18445.4,0,2012-04,2012m4,2.6246686,2.9496884,.32501984,.32501984,,.21035641
160,2012-05,2012,5,12.2,19121.699,0,2012-05,2012m5,2.501436,2.6246686,.1232326,.1232326,,.048677456
161,2012-06,2012,6,12.7,17567.199,0,2012-06,2012m6,2.5416019,2.501436,-.040165901,-.040165901,,-.12522861
162,2012-07,2012,7,31.9,8993.0996,0,2012-07,2012m7,3.462606,2.5416019,-.92100406,-.92100406,,-.044212978
163,2012-08,2012,8,17,14215.4,0,2012-08,2012m8,2.8332133,3.462606,.62939262,.62939262,,.5630573
164,2012-09,2012,9,19.200001,8451.5,0,2012-09,2012m9,2.9549103,2.8332133,-.12169695,-.12169695,,.25795206
165,2012-10,2012,10,13.2,7919.7998,0,2012-10,2012m10,2.5802169,2.9549103,.37469339,.37469339,,.15189201
166,2012-11,2012,11,14.6,6532.2002,0,2012-11,2012m11,2.6810215,2.5802169,-.10080457,-.10080457,,.057564214
167,2012-12,2012,12,14,1213.5,0,2012-12,2012m12,2.6390574,2.6810215,.041964054,.041964054,,-.074140295
168,2013-01,2013,1,8.5,49.700001,0,2013-01,2013m1,2.1400661,2.6390574,.49899125,.49899125,,.095991321
169,2013-02,2013,2,19.4,2219.1001,0,2013-02,2013m2,2.9652731,2.1400661,-.825207,-.825207,,-.4574095
170,2013-03,2013,3,15.6,8673.2998,0,2013-03,2013m3,2.7472708,2.9652731,.21800232,.21800232,,.2718713
171,2013-04,2013,4,9.1000004,12401.2,0,2013-04,2013m4,2.2082744,2.7472708,.53899646,.53899646,,.049754698
172,2013-05,2013,5,12.6,11456.9,0,2013-05,2013m5,2.5336969,2.2082744,-.32542253,-.32542253,,-.26676625
173,2013-06,2013,6,18.700001,15055,0,2013-06,2013m6,2.9285235,2.5336969,-.39482665,-.39482665,,-.17600602
174,2013-07,2013,7,11.7,21184.1,0,2013-07,2013m7,2.4595888,2.9285235,.46893477,.46893477,,.26907039
175,2013-08,2013,8,17,17171.801,0,2013-08,2013m8,2.8332133,2.4595888,-.37362456,-.37362456,,-.1734222
176,2013-09,2013,9,22.4,6033.7002,0,2013-09,2013m9,3.109061,2.8332133,-.27584767,-.27584767,,.15425909
177,2013-10,2013,10,18.200001,7355.1001,0,2013-10,2013m10,2.9014215,3.109061,.20763946,.20763946,,.30983829
178,2013-11,2013,11,11.1,4187.3999,0,2013-11,2013m11,2.4069452,2.9014215,.49447632,.49447632,,.24276713
179,2013-12,2013,12,11.4,1235.6,0,2013-12,2013m12,2.4336133,2.4069452,-.026668072,-.026668072,,-.21433409
180,2014-01,2014,1,12,144,0,2014-01,2014m1,2.4849067,2.4336133,-.051293373,-.051293373,,-.15432134
181,2014-02,2014,2,24.6,444,0,2014-02,2014m2,3.2027464,2.4849067,-.71783972,-.71783972,,-.16592
182,2014-03,2014,3,18.9,5013.5,0,2014-03,2014m3,2.939162,3.2027464,.26358438,.26358438,,.40489992
183,2014-04,2014,4,15.9,16950.1,0,2014-04,2014m4,2.766319,2.939162,.17284298,.17284298,,.23174883
184,2014-05,2014,5,13.5,12580.7,0,2014-05,2014m5,2.6026897,2.766319,.16362929,.16362929,,.078499287
185,2014-06,2014,6,12,10160.8,0,2014-06,2014m6,2.4849067,2.6026897,.11778307,.11778307,,-.045845613
186,2014-07,2014,7,13.5,19492,0,2014-07,2014m7,2.6026897,2.4849067,-.11778307,-.11778307,,-.14261976
187,2014-08,2014,8,16.1,17326.801,0,2014-08,2014m8,2.7788193,2.6026897,-.17612958,-.17612958,,-.0615515
188,2014-09,2014,9,19.200001,11914.4,0,2014-09,2014m9,2.9549103,2.7788193,-.17609096,-.17609096,,.077176116
189,2014-10,2014,10,17.700001,4673.3999,0,2014-10,2014m10,2.8735647,2.9549103,.081345558,.081345558,,.21034458
190,2014-11,2014,11,15.8,2260.3,0,2014-11,2014m11,2.76001,2.8735647,.11355472,.11355472,,.16288179
191,2014-12,2014,12,13,949.40002,0,2014-12,2014m12,2.5649493,2.76001,.19506073,.19506073,,.061258595
192,2015-01,2015,1,11.8,163.60001,0,2015-01,2015m1,2.4680996,2.5649493,.09684968,.09684968,,-.076542176
193,2015-02,2015,2,22,99,0,2015-02,2015m2,3.0910425,2.4680996,-.62294292,-.62294292,,-.17122369
194,2015-03,2015,3,12.7,8660.5996,0,2015-03,2015m3,2.5416019,3.0910425,.54944062,.54944062,,.28308889
195,2015-04,2015,4,11.1,20036.301,0,2015-04,2015m4,2.4069452,2.5416019,.13465667,.13465667,,-.054940216
196,2015-05,2015,5,13.3,14946.4,0,2015-05,2015m5,2.587764,2.4069452,-.1808188,-.1808188,,-.24837066
197,2015-06,2015,6,16.299999,14622.2,0,2015-06,2015m6,2.7911651,2.587764,-.20340109,-.20340109,,-.059391607
198,2015-07,2015,7,11.2,27651.4,0,2015-07,2015m7,2.4159138,2.7911651,.37525129,.37525129,,.047675643
199,2015-08,2015,8,10.3,30799,0,2015-08,2015m8,2.332144,2.4159138,.083769798,.083769798,,-.15579268
200,2015-09,2015,9,23,3426.1001,0,2015-09,2015m9,3.1354942,2.332144,-.80335021,-.80335021,,-.31752303
201,2015-10,2015,10,15.4,5130.3999,0,2015-10,2015m10,2.7343674,3.1354942,.40112686,.40112686,,.33509722
202,2015-11,2015,11,12.4,3911.3999,0,2015-11,2015m11,2.5176964,2.7343674,.21667099,.21667099,,.055540897
203,2015-12,2015,12,11,1135.7,0,2015-12,2015m12,2.3978953,2.5176964,.11980104,.11980104,,-.1299261
204,2016-01,2016,1,7.5,982.5,0,2016-01,2016m1,2.0149031,2.3978953,.38299227,.38299227,,-.22943021
205,2016-02,2016,2,17.299999,972,0,2016-02,2016m2,2.8507063,2.0149031,-.83580327,-.83580327,,-.50154293
206,2016-03,2016,3,16.6,5449.8999,0,2016-03,2016m3,2.8094027,2.8507063,.041303635,.041303635,,.053018682
207,2016-04,2016,4,22.4,9563.7002,0,2016-04,2016m4,3.109061,2.8094027,-.2996583,-.2996583,,.14520426
208,2016-05,2016,5,26.299999,14663.3,0,2016-05,2016m5,3.2695689,3.109061,-.16050792,-.16050792,,.25624755
209,2016-06,2016,6,15.1,21902,0,2016-06,2016m6,2.7146947,3.2695689,.55487418,.55487418,,.48888993
210,2016-07,2016,7,26.5,14199,0,2016-07,2016m7,3.2771447,2.7146947,-.56244993,-.56244993,,-.0042104046
211,2016-08,2016,8,22.799999,24319.6,0,2016-08,2016m8,3.1267605,3.2771447,.15038419,.15038419,,.43033728
212,2016-09,2016,9,13.9,13089,0,2016-09,2016m9,2.6318889,3.1267605,.49487162,.49487162,,.32925555
213,2016-10,2016,10,15.6,1695.3,0,2016-10,2016m10,2.7472708,2.6318889,-.11538196,-.11538196,,-.029325353
214,2016-11,2016,11,25.200001,512.70001,0,2016-11,2016m11,3.2268441,2.7472708,-.47957325,-.47957325,,-.0084505193
215,2016-12,2016,12,18.299999,1546.2,0,2016-12,2016m12,2.9069011,3.2268441,.31994295,.31994295,,.39366707
216,2017-01,2017,1,19.799999,360.20001,1,2017-01,2017m1,2.985682,2.9069011,-.07878089,,-.07878089,.16225673
217,2017-02,2017,2,14.1,6585.3999,1,2017-02,2017m2,2.6461749,2.985682,.3395071,,.3395071,.022231018
218,2017-03,2017,3,12.8,5739.8999,1,2017-03,2017m3,2.5494452,2.6461749,.096729755,,.096729755,-.0037773005
219,2017-04,2017,4,13.5,11709,1,2017-04,2017m4,2.6026897,2.5494452,-.053244591,,-.053244591,.0043852092
220,2017-05,2017,5,17.799999,9365.4004,1,2017-05,2017m5,2.8791983,2.6026897,-.27650857,,-.27650857,-.004379909
221,2017-06,2017,6,11.7,14625.3,1,2017-06,2017m6,2.4595888,2.8791983,.41960955,,.41960955,.0021936067
222,2017-07,2017,7,20,14697.1,1,2017-07,2017m7,2.9957323,2.4595888,-.53614354,,-.53614354,-.0045610457
223,2017-08,2017,8,12.9,29048.699,1,2017-08,2017m8,2.5572274,2.9957323,.43850493,,.43850493,.00172951
224,2017-09,2017,9,16.6,15533.2,1,2017-09,2017m9,2.8094027,2.5572274,-.25217533,,-.25217533,-.0042134733
225,2017-10,2017,10,13.3,11279.6,1,2017-10,2017m10,2.587764,2.8094027,.22163868,,.22163868,.0013776589
226,2017-11,2017,11,14,2430.6001,1,2017-11,2017m11,2.6390574,2.587764,-.051293373,,-.051293373,-.0038923519
227,2017-12,2017,12,10.6,1268.6,1,2017-12,2017m12,2.3608541,2.6390574,.27820325,,.27820325,.001072531
228,2018-01,2018,1,10.6,1268.6,1,2018-01,2018m1,2.3608541,2.3608541,0,,0,-.0036053564
229,2018-02,2018,2,10.6,1268.6,1,2018-02,2018m2,2.3608541,2.3608541,0,,0,.00080198701
230,2018-03,2018,3,23.299999,8831.7998,1,2018-03,2018m3,3.1484532,2.3608541,-.78759909,,-.78759909,-.0033505044
231,2018-04,2018,4,10.8,38365,1,2018-04,2018m4,2.3795462,3.1484532,.76890707,,.76890707,.00056186086
232,2018-05,2018,5,12.2,19975.699,1,2018-05,2018m5,2.501436,2.3795462,-.12188983,,-.12188983,-.0031242666
233,2018-06,2018,6,13.8,14960.2,1,2018-06,2018m6,2.6246686,2.501436,-.1232326,,-.1232326,.00034870478
234,2018-07,2018,7,17.6,14343.2,1,2018-07,2018m7,2.8678989,2.6246686,-.24323034,,-.24323034,-.0029234367
235,2018-08,2018,8,12.7,21482.301,1,2018-08,2018m8,2.5416019,2.8678989,.32629704,,.32629704,.00015948821
236,2018-09,2018,9,11.5,10128.6,1,2018-09,2018m9,2.442347,2.5416019,.099254847,,.099254847,-.002745162
237,2018-10,2018,10,12.7,4805.1001,1,2018-10,2018m10,2.5416019,2.442347,-.099254847,,-.099254847,-8.4776075e-06
238,2018-11,2018,11,8.5,4665.5,1,2018-11,2018m11,2.1400661,2.5416019,.40153575,,.40153575,-.0025869089
239,2018-12,2018,12,8.6999998,821.40002,1,2018-12,2018m12,2.1633229,2.1400661,-.023256779,,-.023256779,-.00015757933
240,2019-01,2019,1,8.6999998,821.40002,1,2019-01,2019m1,2.1633229,2.1633229,0,,0,-.0024464293
241,2019-02,2019,2,11.3,5553.2998,1,2019-02,2019m2,2.4248028,2.1633229,-.26147985,,-.26147985,-.00028993556
242,2019-03,2019,3,8.8999996,9625.9004,1,2019-03,2019m3,2.1860511,2.4248028,.23875165,,.23875165,-.0023217269
243,2019-04,2019,4,14.9,13723.7,1,2019-04,2019m4,2.7013612,2.1860511,-.51531005,,-.51531005,-.00040742697
244,2019-05,2019,5,15.3,12717.2,1,2019-05,2019m5,2.7278528,2.7013612,-.026491642,,-.026491642,-.0022110294
245,2019-06,2019,6,16.1,11395.4,1,2019-06,2019m6,2.7788193,2.7278528,-.050966501,,-.050966501,-.00051172305
246,2019-07,2019,7,14.4,17597.9,1,2019-07,2019m7,2.6672282,2.7788193,.1115911,,.1115911,-.0021127644
247,2019-08,2019,8,14.8,15618.3,1,2019-08,2019m8,2.6946273,2.6672282,-.027399063,,-.027399063,-.00060430571
248,2019-09,2019,9,22.799999,3924.3,1,2019-09,2019m9,3.1267605,2.6946273,-.4321332,,-.4321332,-.0020255356
249,2019-10,2019,10,16.9,8380.7002,1,2019-10,2019m10,2.8273137,3.1267605,.29944682,,.29944682,-.0006864905
250,2019-11,2019,11,15.1,981.70001,1,2019-11,2019m11,2.7146947,2.8273137,.11261892,,.11261892,-.0019481032
251,2019-12,2019,12,14.3,1166.3,1,2019-12,2019m12,2.6602595,2.7146947,.054435253,,.054435253,-.00075944513
